top edge flash-1,118,37,0,1
bottom edge flash-1,118,38,0,1
square flash-2,119,38,0,1
top edge flash-0,115,35,0,1
vertical flash-0,115,36,0,1
vertical flash-0,115,37,0,1
vertical flash-0,115,38,0,1
top edge flash-2,118,35,0,1
bottom edge flash-2,118,36,0,1
left edge flash-1,120,38,0,1
horizontal flash-1,121,38,0,1
horizontal flash-1,122,38,0,1
right edge flash-1,123,38,0,1
left edge flash-2,124,38,0,1
horizontal flash-2,125,38,0,1
right edge flash-2,126,38,0,1
square flash-0,127,38,0,1
top edge flash-1,127,39,0,1
bottom edge flash-1,127,40,0,1
vertical flash-0,115,39,0,1
bottom edge flash-0,115,40,0,1
square flash-2,115,41,0,1
square flash-0,116,41,0,1
square flash-1,117,41,0,1
square flash-2,118,41,0,1
left edge flash-0,119,41,0,1
horizontal flash-0,120,41,0,1
right edge flash-0,121,41,0,1
square flash-1,122,41,0,1
square flash-2,123,41,0,1
top edge flash-0,124,41,0,1
bottom edge flash-0,124,42,0,1
top edge flash-1,124,43,0,1
vertical flash-1,124,44,0,1
bottom edge flash-1,124,45,0,1
top edge flash-2,127,41,0,1
vertical flash-2,127,42,0,1
vertical flash-2,127,43,0,1
bottom edge flash-2,127,44,0,1
square flash-0,127,45,0,1
square flash-2,124,46,0,1
top edge flash-0,124,47,0,1
vertical flash-0,124,48,0,1
vertical flash-0,124,49,0,1
bottom edge flash-0,124,50,0,1
top edge flash-1,127,46,0,1
vertical flash-1,127,47,0,1
bottom edge flash-1,127,48,0,1
square flash-2,127,49,0,1
square flash-0,127,50,0,1
vertical flash-1,112,35,0,1
vertical flash-1,112,36,0,1
vertical flash-1,112,37,0,1
bottom edge flash-1,112,38,0,1
top edge flash-0,112,39,0,1
vertical flash-0,112,40,0,1
bottom edge flash-0,112,41,0,1
top edge flash-1,112,42,0,1
top edge flash-2,112,43,0,1
top edge flash-1,112,45,0,1
bottom edge flash-1,112,46,0,1
bottom edge flash-2,112,44,0,1
square flash-2,113,46,0,1
square flash-0,114,46,0,1
square flash-2,117,46,0,1
left edge flash-0,118,46,0,1
right edge flash-0,119,46,0,1
bottom edge flash-0,121,46,0,1
top edge flash-0,121,45,0,1
square flash-1,120,46,0,1
top edge flash-1,121,47,0,1
bottom edge flash-1,121,48,0,1
top edge flash-2,121,49,0,1
vertical flash-2,121,50,0,1
bottom edge flash-2,121,51,0,1
square flash-2,121,44,0,1
top edge flash-2,114,47,0,1
bottom edge flash-2,114,48,0,1
square flash-0,114,49,0,1
left edge flash-1,114,50,0,1
horizontal flash-1,115,50,0,1
horizontal flash-1,116,50,0,1
right edge flash-1,117,50,0,1
vertical flash-1,115,52,0,1
vertical flash-1,115,53,0,1
bottom edge flash-1,115,54,0,1
top edge flash-1,115,51,0,1
square flash-0,118,50,0,1
top edge flash-2,118,51,0,1
vertical flash-2,118,52,0,1
vertical flash-2,118,53,0,1
bottom edge flash-2,118,54,0,1
